date,rainfall_mm,rainfall_3day_avg,rainfall_7day_avg,river_level_m,temperature_c,humidity_pct,wind_speed_kmh,soil_moisture_pct,elevation_m,distance_to_river_km,drainage_quality,flood
2015-02-21,22.38,38.95,25.6,11.12,22.65,64.16,8.18,44.94,100,3.04,1,1
2015-02-22,42.08,32.75,29.37,13.64,26.26,79.55,29.91,39.32,5,4.81,1,1
2015-02-23,33.78,29.84,29.13,13.67,26.53,79.98,9.38,44.38,50,0.56,1,1
2015-02-24,13.67,28.56,22.12,5.11,28.69,68.92,3.61,46.76,50,1.73,1,0
2015-02-25,38.24,17.77,19.02,14.59,29.56,77.19,10.18,31.31,10,1.31,1,0
2015-02-26,1.39,14.3,13.85,5.89,25.03,61.65,9.8,37.32,100,2.95,0,0
2015-02-27,3.27,1.79,10.08,4.91,28.03,62.17,9.09,38.18,50,0.95,2,0
2015-02-28,0.69,3.29,8.8,2.67,27.98,59.23,1.74,33.05,50,2.47,0,0
2015-03-01,5.9,4.66,7.12,5.23,28.62,61.9,10.07,39.04,20,1.03,0,0
2015-03-02,7.38,6.01,7.87,5.74,27.5,74.87,5.62,44.14,200,0.24,1,0
2015-03-03,4.75,12.87,8.11,5.49,22.64,66.42,0.19,34.96,50,0.23,0,0
2015-03-04,26.47,12.61,9.69,9.8,26.24,85.64,7.76,32.71,20,0.25,0,0
2015-03-05,6.62,12.68,9.17,6.2,24.27,60.82,45.34,38.55,10,0.07,0,0
2015-03-06,4.95,7.77,11.59,1.74,26.2,62.05,4.3,38.84,5,1.52,0,0
2015-03-07,11.74,6.32,11.07,6.26,28.59,59.21,33.69,21.84,10,2.23,1,0
2015-03-08,2.28,12.77,16.58,3.6,27.26,57.09,1.01,36.62,200,0.27,1,0
2015-03-09,24.31,9.25,18.81,11.55,28.97,81.66,13.18,35.55,20,1.89,1,0
2015-03-10,1.16,30.16,18.57,3.88,27.38,57.97,1.21,39.41,100,1.82,1,0
2015-03-11,65.01,29.46,16.91,15.0,24.13,100.0,3.2,35.8,10,0.32,1,1
2015-03-12,22.19,30.18,20.2,8.98,21.71,64.88,8.46,37.66,20,1.04,1,1
2015-03-13,3.32,8.53,19.36,4.74,27.07,56.39,8.98,33.43,200,2.81,1,0
2015-03-14,0.08,9.58,21.99,3.43,26.37,58.34,14.93,42.47,5,0.03,0,0
2015-03-15,25.35,14.61,15.87,10.41,24.87,72.36,9.55,44.62,50,0.32,2,0
2015-03-16,18.41,21.11,12.86,8.44,23.45,73.82,9.0,30.91,200,10.96,1,0
2015-03-17,19.58,20.04,13.34,10.21,25.4,72.05,24.34,28.35,200,2.65,0,0
2015-03-18,22.13,14.29,13.59,9.52,26.51,68.98,6.02,35.54,100,1.25,2,0
2015-03-19,1.15,9.98,14.23,3.74,28.26,59.91,2.55,35.55,100,1.99,1,0
2015-03-20,6.66,3.22,13.69,8.1,27.33,61.73,1.76,41.33,50,3.74,0,0
2015-03-21,1.85,12.78,11.76,2.35,30.19,56.35,5.11,28.56,10,3.69,2,0
2015-03-22,29.83,15.44,8.73,10.23,24.93,70.47,12.47,30.8,50,0.79,1,0
2015-03-23,14.64,16.83,9.37,8.83,28.78,72.46,0.43,23.01,200,1.35,2,0
2015-03-24,6.03,7.22,9.26,4.49,27.14,53.87,1.38,40.58,50,2.03,0,0
2015-03-25,0.99,4.2,11.8,3.41,28.46,68.58,1.12,35.97,20,0.15,0,0
2015-03-26,5.59,4.16,9.71,4.24,26.22,61.08,8.8,31.57,50,5.83,1,0
2015-03-27,5.9,10.37,12.3,4.96,29.26,59.09,2.78,28.31,50,1.13,0,0
2015-03-28,19.62,13.58,12.8,11.3,27.74,73.51,1.82,28.97,10,0.93,0,0
2015-03-29,15.22,22.53,12.94,9.03,25.81,75.04,8.98,37.25,50,4.75,2,0
2015-03-30,32.73,19.18,14.82,14.35,27.17,81.96,14.33,30.39,50,0.25,0,0
2015-03-31,9.59,14.74,17.04,4.68,26.74,67.3,4.04,37.34,50,0.08,2,0
2015-04-01,1.91,10.08,16.0,2.69,28.22,66.39,8.63,46.61,20,2.31,1,0
2015-04-02,18.74,14.03,16.98,5.71,24.91,60.79,1.03,35.06,10,0.97,2,0
2015-04-03,21.46,17.52,13.77,8.97,27.23,68.12,27.36,30.7,50,2.89,1,0
2015-04-04,12.36,18.64,13.98,8.36,28.11,61.62,4.11,37.5,50,0.14,1,0
2015-04-05,22.11,14.89,14.9,10.75,27.41,77.18,59.94,29.83,20,0.97,1,0
2015-04-06,10.21,14.47,12.28,6.3,30.06,63.19,38.44,43.51,20,0.54,1,0
2015-04-07,11.1,9.89,9.46,6.8,28.94,69.77,15.09,40.8,20,2.69,1,0
2015-04-08,8.37,6.62,7.77,5.18,27.4,66.86,0.2,32.29,20,0.52,1,0
2015-04-09,0.39,3.49,6.78,3.86,27.87,55.88,7.84,28.22,200,1.22,0,0
2015-04-10,1.71,0.86,6.13,4.93,28.05,57.92,0.91,30.32,100,3.42,0,0
2015-04-11,0.48,5.79,6.06,1.7,28.29,66.71,22.55,30.95,100,4.94,1,0
2015-04-12,15.18,7.11,9.97,8.41,23.86,63.71,15.59,35.91,50,2.56,2,0
2015-04-13,5.66,10.5,10.53,6.32,26.93,63.45,35.88,39.41,50,1.12,1,0
2015-04-14,10.66,17.35,11.42,6.2,24.59,61.42,9.37,29.38,10,1.7,1,0
2015-04-15,35.72,16.89,14.37,15.0,30.14,76.29,7.39,40.8,50,2.34,2,0
2015-04-16,4.3,15.98,12.76,8.17,27.49,61.92,7.32,38.19,20,4.16,1,0
2015-04-17,7.92,11.12,12.12,5.75,27.25,60.05,4.88,32.31,50,4.39,2,0
2015-04-18,21.13,10.98,11.33,10.31,29.45,65.76,6.32,29.1,20,5.35,2,0
2015-04-19,3.9,8.74,6.6,3.78,28.53,63.38,10.09,33.22,10,3.33,0,0
2015-04-20,1.2,3.41,11.68,4.08,25.45,56.38,27.02,29.37,10,0.32,2,0
2015-04-21,5.13,2.99,14.08,5.59,27.59,58.51,9.06,40.75,100,2.75,0,0
2015-04-22,2.64,15.86,13.22,4.52,27.08,56.62,19.46,29.67,20,3.37,2,0
2015-04-23,39.82,22.41,17.05,14.22,24.29,79.52,19.86,39.56,20,4.21,1,0
2015-04-24,24.76,26.55,20.37,11.18,26.42,77.1,7.32,37.75,200,5.18,1,1
2015-04-25,15.05,23.53,20.08,9.77,27.46,75.06,4.27,35.23,50,1.42,2,0
2015-04-26,30.77,23.41,24.48,13.27,27.62,71.76,10.2,39.28,10,2.13,2,0
2015-04-27,24.42,19.43,20.46,11.98,24.91,82.96,5.9,43.58,10,0.02,1,0
2015-04-28,3.1,20.33,20.45,4.14,30.2,56.53,0.85,32.22,20,1.7,1,0
2015-04-29,33.46,16.06,23.15,14.44,27.72,82.15,4.75,37.2,50,1.28,0,0
2015-04-30,11.63,23.27,19.57,7.32,28.02,62.2,51.28,34.07,100,6.56,2,0
2015-05-01,24.71,23.43,16.34,9.77,28.77,68.0,0.5,36.34,20,4.64,0,0
2015-05-02,33.96,21.47,16.45,14.07,26.42,73.26,11.93,33.16,100,3.2,2,0
2015-05-03,5.74,13.82,12.86,4.03,28.93,62.61,18.4,26.3,10,0.12,1,0
2015-05-04,1.75,3.79,14.85,3.27,27.31,63.77,10.46,30.66,10,1.03,1,0
2015-05-05,3.88,4.66,15.55,4.89,26.27,65.29,8.43,44.41,200,2.38,1,0
2015-05-06,8.36,12.6,10.71,6.36,29.24,59.46,12.29,35.52,10,0.06,2,0
2015-05-07,25.56,21.16,11.42,9.74,31.1,67.83,5.61,35.63,100,0.54,2,0
2015-05-08,29.57,18.41,12.33,13.64,29.59,70.2,0.96,33.52,50,4.37,1,0
2015-05-09,0.1,13.47,12.31,4.22,30.01,59.5,32.8,34.67,5,0.28,2,0
2015-05-10,10.72,6.31,11.39,5.87,27.14,64.31,5.66,32.41,20,0.11,2,0
2015-05-11,8.1,7.53,8.62,4.09,25.01,59.3,10.95,36.08,50,1.74,2,0
2015-05-12,3.77,4.6,10.53,4.46,31.21,63.23,7.58,34.72,200,5.85,2,0
2015-05-13,1.92,3.95,11.36,3.54,32.37,72.27,0.56,28.69,20,3.6,1,0
2015-05-14,6.18,17.01,11.39,5.49,31.37,60.57,30.52,35.83,20,7.36,0,0
2015-05-15,42.95,18.33,12.84,15.0,27.63,79.31,15.73,22.84,10,2.8,1,1
2015-05-16,5.86,19.92,13.27,2.85,26.02,65.73,1.61,37.38,50,1.15,2,0
2015-05-17,10.97,11.68,20.64,6.33,26.22,62.69,39.98,31.21,10,5.86,2,0
2015-05-18,18.21,11.99,26.79,8.6,25.01,72.45,13.35,40.23,5,1.11,1,0
2015-05-19,6.78,26.17,21.27,6.29,28.19,59.8,6.39,32.54,200,0.86,2,0
2015-05-20,53.52,36.51,21.91,15.0,31.63,95.92,9.45,38.78,20,1.19,2,1
2015-05-21,49.23,35.7,21.11,15.0,28.16,86.34,1.13,41.34,10,3.36,1,1
2015-05-22,4.35,21.3,19.23,2.51,29.08,59.08,8.22,45.21,50,4.99,0,0
2015-05-23,10.31,6.68,18.34,8.17,31.25,62.21,0.77,29.63,100,0.89,2,0
2015-05-24,5.37,6.9,12.71,4.84,27.71,60.12,7.87,39.96,5,1.24,1,0
2015-05-25,5.03,3.65,7.17,6.04,32.61,69.38,8.05,33.53,10,4.57,1,0
2015-05-26,0.56,6.57,6.66,3.76,32.55,53.94,20.75,30.41,5,0.1,1,0
2015-05-27,14.11,8.38,5.89,9.1,28.33,63.71,12.91,36.16,5,3.06,2,0
2015-05-28,10.48,8.46,10.24,6.18,27.46,62.43,2.87,32.92,50,1.21,1,0
2015-05-29,0.79,5.39,10.11,2.42,30.03,60.32,21.93,37.63,50,0.94,2,0
2015-05-30,4.9,13.84,10.37,6.67,27.96,61.09,8.52,29.19,50,1.18,1,0
2015-05-31,35.83,14.95,9.79,14.11,26.37,70.46,9.32,30.75,50,1.08,1,0
2015-06-01,4.11,14.1,17.39,5.0,31.27,60.05,1.85,41.67,100,2.83,1,0
2015-06-02,2.35,5.51,17.87,5.69,31.16,60.68,19.5,44.58,50,5.26,2,0
2015-06-03,10.08,25.36,19.56,5.29,29.06,61.9,26.73,37.65,200,1.35,1,0
2015-06-04,63.66,25.97,17.51,15.0,26.25,95.26,14.92,23.07,20,3.58,0,1
2015-06-05,4.16,28.18,17.51,4.04,26.34,66.68,28.26,36.01,100,2.63,1,0
2015-06-06,16.73,14.13,19.96,8.36,29.04,67.97,3.6,38.15,20,0.8,2,0
2015-06-07,21.51,14.1,19.51,10.04,27.85,71.91,19.74,36.64,20,1.77,1,0
2015-06-08,4.07,15.04,12.56,2.92,28.19,51.23,6.71,36.7,100,2.2,0,0
2015-06-09,19.54,10.16,14.11,8.43,30.94,67.67,1.79,33.26,10,0.05,1,0
2015-06-10,6.88,13.81,13.37,7.18,30.38,68.46,11.05,39.54,50,1.01,0,0
2015-06-11,15.01,12.31,10.5,9.07,31.69,65.39,11.52,28.37,50,9.82,1,0
2015-06-12,15.06,13.86,13.78,7.94,26.98,63.84,3.38,41.7,100,2.03,0,0
2015-06-13,11.51,9.33,11.82,7.24,28.3,77.14,0.28,42.48,50,0.81,1,0
2015-06-14,1.42,13.33,11.28,3.57,30.52,69.81,2.23,29.95,20,0.58,1,0
2015-06-15,27.05,11.43,9.22,13.24,29.93,75.87,5.1,29.12,20,0.47,0,0
2015-06-16,5.8,11.98,8.99,5.0,32.12,68.6,1.83,35.65,200,1.03,0,0
2015-06-17,3.1,3.17,9.77,4.71,29.92,50.42,2.16,27.97,20,0.43,2,0
2015-06-18,0.62,5.71,9.6,5.06,32.79,56.37,4.97,31.38,100,0.29,0,0
2015-06-19,13.41,10.34,7.27,6.59,30.2,64.35,32.65,38.42,5,0.91,1,0
2015-06-20,16.98,10.21,7.0,10.46,31.27,67.31,14.45,36.49,10,1.87,2,0
2015-06-21,0.25,9.33,8.77,1.74,28.52,57.68,3.85,43.41,20,0.32,0,0
2015-06-22,10.76,4.96,9.1,8.68,29.22,52.63,30.28,34.49,50,0.09,0,0
2015-06-23,3.85,10.05,9.7,4.21,31.03,63.86,10.37,30.82,20,0.07,1,0
2015-06-24,15.54,7.42,8.32,7.87,32.46,70.49,6.08,33.58,5,0.62,1,0
2015-06-25,2.87,12.01,14.2,2.09,30.72,69.45,6.32,34.93,10,0.42,1,0
2015-06-26,17.61,9.27,12.98,8.24,29.11,64.87,5.29,34.51,20,1.55,2,0
2015-06-27,7.33,22.12,13.32,4.45,32.06,59.32,2.65,35.21,10,1.22,0,0
2015-06-28,41.41,16.99,11.36,15.0,24.94,67.3,4.89,29.88,10,0.79,1,1
2015-06-29,2.22,16.63,16.49,4.0,26.5,59.64,7.51,38.01,100,3.59,2,0
2015-06-30,6.26,3.43,18.47,6.53,30.74,67.63,7.51,30.34,20,1.41,0,0
2015-07-01,1.81,15.62,18.06,4.29,29.42,57.84,14.34,33.64,20,0.19,0,0
2015-07-02,38.79,24.02,14.46,15.0,30.63,90.11,4.44,35.19,200,0.7,1,0
2015-07-03,31.48,24.91,17.78,11.63,29.57,74.45,12.62,25.82,20,7.25,2,0
2015-07-04,4.47,17.38,18.63,3.79,30.6,62.97,8.63,41.29,200,7.54,1,0
2015-07-05,16.18,15.38,19.98,10.51,27.86,61.28,32.66,27.73,20,0.59,1,0
2015-07-06,25.49,17.94,15.03,10.27,30.65,74.18,4.87,39.36,20,0.37,0,0
2015-07-07,12.15,16.32,10.75,9.13,31.52,56.18,23.15,27.84,20,1.37,1,0
2015-07-08,11.31,9.21,14.98,6.6,31.99,69.13,17.18,33.97,50,1.31,0,0
2015-07-09,4.15,5.64,17.62,4.75,33.6,65.7,10.15,39.64,50,1.06,1,0
2015-07-10,1.47,13.25,16.12,5.22,30.08,67.53,10.63,47.44,10,1.51,1,0
2015-07-11,34.13,23.4,15.27,15.0,30.17,71.96,0.88,36.69,100,0.53,2,0
2015-07-12,34.6,27.92,14.58,13.75,26.59,78.1,30.0,25.92,20,0.24,2,1
2015-07-13,15.04,18.62,16.76,7.55,28.6,70.34,1.13,41.47,5,1.69,2,0
2015-07-14,6.21,9.23,21.42,5.3,29.3,65.32,8.28,37.41,50,5.39,1,0
2015-07-15,6.44,10.69,21.22,5.84,31.81,58.9,4.01,38.84,100,0.3,0,0
2015-07-16,19.42,19.99,19.52,10.39,28.51,57.75,5.62,40.6,20,2.44,1,0
2015-07-17,34.11,28.75,19.57,13.74,31.34,78.79,9.42,26.7,5,1.15,1,1
2015-07-18,32.72,29.84,18.87,14.06,29.77,75.6,23.95,37.58,100,0.7,1,1
2015-07-19,22.7,23.61,18.33,12.28,29.44,68.52,6.12,35.28,200,3.84,0,0
2015-07-20,15.41,13.14,20.46,8.58,30.32,71.52,44.01,44.29,5,1.22,1,0
2015-07-21,1.32,6.46,17.59,4.27,29.06,60.43,8.98,40.67,200,1.75,0,0
2015-07-22,2.64,12.76,12.93,2.47,29.0,54.73,1.75,27.04,20,1.17,1,0
2015-07-23,34.32,16.99,9.92,10.64,26.47,67.5,2.11,40.28,200,0.17,0,0
2015-07-24,13.99,16.15,10.05,8.16,29.41,61.35,12.59,36.27,50,1.81,2,0
2015-07-25,0.14,5.24,9.87,3.43,28.97,72.03,0.52,26.21,100,1.09,0,0
2015-07-26,1.6,6.03,9.87,3.36,28.92,64.42,6.55,34.23,100,0.18,2,0
2015-07-27,16.34,6.01,6.67,8.69,30.81,69.11,1.6,37.84,5,1.81,2,0
2015-07-28,0.08,6.35,7.2,3.45,31.31,59.13,5.68,26.81,5,0.02,2,0
2015-07-29,2.63,4.88,9.44,5.64,30.48,60.08,13.86,40.66,50,0.47,2,0
2015-07-30,11.94,10.74,9.75,7.18,32.03,71.8,6.14,26.34,10,3.04,0,0
2015-07-31,17.66,15.14,10.09,7.9,31.21,66.38,1.78,30.08,20,0.08,1,0
2015-08-01,15.83,12.43,10.66,9.44,29.49,70.8,2.9,29.55,200,2.08,2,0
2015-08-02,3.81,12.77,11.13,4.38,29.18,60.16,4.58,41.34,20,5.98,0,0
2015-08-03,18.68,8.85,12.36,9.74,30.75,79.04,0.72,32.49,20,0.38,1,0
2015-08-04,4.06,9.55,12.09,4.15,31.29,65.74,8.78,29.02,20,1.08,1,0
2015-08-05,5.9,10.18,13.88,4.49,32.96,69.18,9.35,37.78,50,1.71,1,0
2015-08-06,20.59,14.07,15.63,9.78,32.57,67.37,0.64,39.56,10,1.2,2,0
2015-08-07,15.73,21.57,14.76,8.23,29.13,73.16,5.15,39.24,20,1.94,1,0
2015-08-08,28.38,20.06,14.39,12.59,30.03,72.63,5.34,34.4,100,1.04,0,0
2015-08-09,16.08,19.02,14.53,8.0,31.59,68.59,4.06,37.09,100,0.32,2,0
2015-08-10,12.6,10.05,12.25,5.08,32.41,74.48,8.16,31.65,100,0.19,0,0
2015-08-11,1.48,6.98,10.6,3.42,32.17,55.52,4.25,42.62,100,2.73,2,0
2015-08-12,6.88,4.32,14.29,6.52,30.19,64.45,5.39,41.44,20,0.55,2,0
2015-08-13,4.62,5.23,13.06,4.53,27.83,64.5,15.97,40.64,50,3.76,2,0
2015-08-14,4.2,21.0,16.03,4.46,28.36,64.7,1.77,40.38,20,2.72,1,0
2015-08-15,54.18,21.96,17.96,15.0,30.93,84.84,9.65,39.78,10,0.1,2,1
2015-08-16,7.49,31.69,20.37,4.89,31.09,74.18,7.04,31.93,20,0.45,1,0
2015-08-17,33.39,18.61,21.21,11.67,28.23,70.22,3.64,41.65,10,0.69,1,0
2015-08-18,14.96,24.04,22.45,7.8,30.53,74.77,13.0,39.55,20,1.81,1,0
2015-08-19,23.76,16.4,16.16,10.05,31.73,77.95,8.01,42.78,20,3.32,1,0
2015-08-20,10.48,15.71,15.56,5.48,28.18,74.74,6.49,40.26,50,0.12,2,0
2015-08-21,12.9,11.18,13.54,7.16,32.72,58.51,11.02,38.17,20,0.57,1,0
2015-08-22,10.17,8.78,12.11,7.14,29.77,60.74,16.21,26.42,50,0.94,1,0
2015-08-23,3.26,10.89,8.76,4.47,33.06,69.09,36.0,33.06,50,0.41,1,0
2015-08-24,19.23,9.14,9.49,9.64,29.5,60.23,9.92,31.01,200,1.58,2,0
2015-08-25,4.94,8.18,8.06,7.16,28.54,54.44,20.75,34.49,5,1.3,2,0
2015-08-26,0.37,6.96,12.66,3.2,29.7,57.74,0.01,32.98,50,0.76,0,0
2015-08-27,15.55,6.28,18.79,8.5,30.44,68.74,7.56,36.13,50,1.46,1,0
2015-08-28,2.92,20.26,21.32,3.77,29.88,69.42,2.42,40.82,200,0.88,1,0
2015-08-29,42.32,30.47,21.6,15.0,30.24,80.23,0.99,36.48,20,0.84,1,1
2015-08-30,46.16,41.81,21.58,15.0,31.36,80.04,7.59,39.24,20,0.62,0,1
2015-08-31,36.95,30.02,25.01,14.01,30.37,80.03,13.74,32.41,10,1.55,2,1
2015-09-01,6.93,14.71,25.79,6.01,30.6,65.82,5.31,36.15,20,1.17,0,0
2015-09-02,0.23,15.57,27.03,6.39,27.34,62.32,11.09,44.09,50,0.44,1,0
2015-09-03,39.53,16.05,27.54,14.5,31.56,78.88,6.73,34.86,100,0.03,2,0
2015-09-04,8.38,32.98,26.37,5.52,30.62,54.42,5.75,46.78,20,0.33,0,0
2015-09-05,51.01,36.37,26.12,15.0,34.04,80.92,3.43,45.32,10,0.09,1,1
2015-09-06,49.71,43.16,27.13,15.0,28.96,91.95,4.82,39.51,20,1.13,2,1
2015-09-07,28.76,27.9,25.57,12.44,27.24,75.32,4.3,55.22,10,0.51,1,1
2015-09-08,5.23,13.76,25.18,6.61,32.12,61.0,10.39,46.29,200,1.09,2,0
2015-09-09,7.29,13.7,18.3,2.78,31.59,69.24,1.23,32.57,100,0.8,2,0
2015-09-10,28.57,13.86,12.94,9.21,28.9,68.63,0.97,38.91,20,1.54,1,0
2015-09-11,5.72,12.36,14.73,4.62,27.88,61.73,10.79,36.22,10,2.57,1,0
2015-09-12,2.79,6.9,16.53,5.65,34.03,62.08,7.9,32.73,200,1.31,1,0
2015-09-13,12.21,18.75,17.3,5.28,33.81,63.9,5.62,31.57,5,0.13,1,0
2015-09-14,41.27,23.78,13.43,12.27,26.03,81.14,1.65,40.35,50,0.04,0,1
2015-09-15,17.86,23.93,14.66,9.54,30.1,67.99,5.29,32.88,200,0.48,1,0
2015-09-16,12.66,10.69,24.14,7.59,34.37,59.33,15.59,39.15,50,1.11,2,0
2015-09-17,1.53,9.5,22.72,2.65,30.11,61.67,22.04,34.48,5,0.09,2,0
2015-09-18,14.32,28.34,18.39,6.61,30.1,60.52,12.13,33.62,10,0.79,1,1
2015-09-19,69.16,28.58,20.34,15.0,30.53,95.41,0.62,37.5,200,4.36,1,1
2015-09-20,2.26,27.46,21.42,4.31,28.88,68.0,11.1,40.51,5,0.19,1,1
2015-09-21,10.96,14.9,23.76,6.04,27.73,64.07,2.76,26.56,20,5.93,2,0
2015-09-22,31.48,20.9,24.31,13.54,33.26,69.88,3.79,39.81,100,3.89,1,0
2015-09-23,20.25,23.21,15.39,6.15,27.49,69.49,2.18,32.43,100,3.56,1,0
2015-09-24,17.91,18.78,15.81,7.85,31.69,64.8,14.95,43.34,20,3.99,1,0
2015-09-25,18.18,14.26,17.8,7.6,32.99,72.06,10.46,51.83,10,0.17,1,0
2015-09-26,6.68,10.03,16.86,5.2,28.34,62.6,9.46,34.95,50,0.33,2,0
2015-09-27,5.21,12.25,18.29,4.42,29.41,71.16,11.03,28.71,20,0.29,1,0
2015-09-28,24.86,18.33,20.97,11.92,33.7,78.25,2.7,38.97,20,0.24,0,0
2015-09-29,24.92,26.68,19.91,8.74,32.36,71.69,5.88,36.94,100,0.79,0,1
2015-09-30,30.27,30.62,20.45,12.64,30.08,78.71,10.03,48.03,10,3.55,2,1
2015-10-01,36.67,25.89,23.13,15.0,33.74,76.37,10.12,47.59,5,0.58,1,1
2015-10-02,10.74,19.28,21.83,8.95,33.77,65.54,15.7,43.06,20,0.56,0,0
2015-10-03,10.44,15.07,20.86,6.05,31.91,63.41,3.38,35.41,20,2.25,2,0
2015-10-04,24.01,16.73,19.94,11.09,29.59,75.84,14.71,41.37,50,0.2,1,0
2015-10-05,15.75,19.31,19.43,6.06,30.59,75.04,5.8,39.1,100,0.89,1,0
2015-10-06,18.16,19.24,18.78,6.08,32.01,73.07,11.09,38.72,50,0.7,1,0
2015-10-07,23.83,25.03,18.3,11.66,31.08,76.52,6.08,29.53,50,3.76,2,1
2015-10-08,33.11,21.04,15.08,13.43,33.35,81.17,29.68,41.34,50,1.45,0,0
